epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,3413.06,0.79875,0.91608,1.1438,0.83814,0.76444,0.84318,0.69736,0.76437,0.88002,1.10282,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3461.55,0.79284,0.90448,1.13906,0.84073,0.75986,0.84461,0.69999,0.76273,0.87796,1.10156,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3510.39,0.79672,0.90592,1.14067,0.8537,0.75694,0.84087,0.69847,0.76417,0.87544,1.10027,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3559.18,0.79157,0.89908,1.13968,0.84778,0.7607,0.84401,0.70064,0.76077,0.87258,1.09937,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3607.95,0.78359,0.88406,1.1296,0.85622,0.76068,0.84548,0.7017,0.75602,0.87015,1.09309,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3656.51,0.79027,0.8929,1.13487,0.85431,0.76049,0.84651,0.70398,0.75454,0.8658,1.09203,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3704.63,0.7842,0.88208,1.13288,0.86126,0.7506,0.84376,0.7014,0.75449,0.86997,1.09172,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3753.85,0.77228,0.87269,1.12522,0.85223,0.756,0.84479,0.70398,0.75034,0.86232,1.08971,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3801.22,0.77685,0.86616,1.12654,0.85258,0.75802,0.84521,0.70483,0.75142,0.86079,1.08934,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3849.33,0.771,0.86566,1.12636,0.8643,0.75525,0.84602,0.70451,0.74981,0.85951,1.08764,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3898.26,0.771,0.86067,1.1245,0.85746,0.75937,0.84557,0.70568,0.74878,0.85561,1.08622,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3947.07,0.76531,0.85592,1.12117,0.86787,0.75141,0.84791,0.70711,0.74913,0.85371,1.08786,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3995.85,0.76436,0.85722,1.12103,0.87378,0.74676,0.84953,0.71066,0.74749,0.85099,1.08711,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4044.65,0.75463,0.84488,1.11419,0.85204,0.76161,0.84947,0.71163,0.74428,0.85151,1.08532,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4092.46,0.75683,0.84586,1.11652,0.86498,0.75296,0.85076,0.71224,0.74444,0.84682,1.08607,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4140.99,0.75778,0.8417,1.11113,0.86283,0.75382,0.85008,0.71218,0.74181,0.84427,1.0826,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4189.23,0.75884,0.84233,1.11691,0.8584,0.7611,0.85181,0.71176,0.74066,0.84243,1.08211,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4237.55,0.75278,0.83102,1.11061,0.86241,0.7629,0.8505,0.70952,0.73855,0.83889,1.08075,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4286.64,0.74453,0.81904,1.10697,0.86141,0.76368,0.85201,0.71271,0.73984,0.83971,1.08113,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4335.42,0.74358,0.82061,1.10969,0.86821,0.75779,0.85091,0.71334,0.73872,0.83793,1.08051,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4384.32,0.74189,0.80592,1.10265,0.85768,0.76283,0.85114,0.71295,0.73756,0.83662,1.07956,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4437.03,0.71399,0.75135,1.08157,0.87069,0.75986,0.85028,0.71276,0.73834,0.83722,1.08042,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4485.24,0.70276,0.7253,1.07468,0.86888,0.75848,0.85117,0.71368,0.73754,0.83487,1.07975,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4533.4,0.69473,0.71166,1.06948,0.86801,0.76206,0.85158,0.71456,0.73634,0.83432,1.07947,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4582.37,0.69107,0.70312,1.06491,0.87484,0.7599,0.85227,0.71534,0.73601,0.8311,1.08031,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4630.63,0.68697,0.69328,1.06508,0.86097,0.77043,0.85273,0.71766,0.73405,0.82963,1.07909,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4679.74,0.68475,0.6889,1.06198,0.87066,0.76399,0.85297,0.71982,0.733,0.82859,1.0787,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4727.45,0.67527,0.68096,1.05802,0.88173,0.75666,0.85397,0.72058,0.73178,0.82682,1.07762,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4775.85,0.66934,0.67003,1.05275,0.87794,0.76052,0.85444,0.72082,0.73051,0.82525,1.07649,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4823.91,0.667,0.66612,1.05086,0.87941,0.75963,0.85338,0.71989,0.73074,0.82456,1.07671,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4872.66,0.6648,0.66209,1.04834,0.87867,0.76074,0.85411,0.72041,0.73038,0.82476,1.07653,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
